repeat,model,n,mae,rmse,r2,pearson_r
5,lesion_uncertainty_plus_mass_effect,210,15.188456062977327,19.321420544848554,0.5084354817226557,0.713228448469106
5,lesion_plus_hodge,210,16.431859679404948,20.314266760297823,0.45661865669392665,0.6771190751696069
5,lesion_plus_mass_effect_plus_hodge,210,15.605487982174948,19.613486062334868,0.49346203287261214,0.7025849396055595
6,intercept_only,210,24.194666666666663,27.705968904795853,-0.010762464528966342,-0.1383230648652562
6,clinical_only,210,24.22603929439912,27.794492823966287,-0.017231799666196812,-0.1554897983060099
6,lesion_standard,210,16.25903003575749,20.20455860173698,0.46247192177791174,0.6806029617083302
6,lesion_plus_mass_effect,210,15.306058187492443,19.250830706932366,0.5120207329442259,0.7157300623756851
6,lesion_plus_uncertainty,210,15.780900864468931,20.148980036000545,0.46542511171769996,0.6874410368443663
6,lesion_uncertainty_plus_mass_effect,210,15.116669499043795,18.9857236555853,0.5253683103935489,0.724872503209782
6,lesion_plus_hodge,210,16.352216582770023,20.250992437251163,0.4599984036340362,0.6789517939285529
6,lesion_plus_mass_effect_plus_hodge,210,15.544857057318062,19.373509172715597,0.5057814910012108,0.7112172627358107
7,intercept_only,210,24.275105442176873,27.817933687410864,-0.018948315723761988,-0.18353717503552602
7,clinical_only,210,24.332268716189787,27.929303885327233,-0.027123447540015944,-0.1537492246100741
7,lesion_standard,210,16.35138781205083,20.267879700218444,0.45909741557539285,0.6785003044637378
7,lesion_plus_mass_effect,210,15.601128097000423,19.333258015094664,0.5078329729325202,0.7127927081886318
7,lesion_plus_uncertainty,210,15.530040775849976,19.85375054800762,0.48097587789563756,0.6982596926658468
7,lesion_uncertainty_plus_mass_effect,210,15.241735360827326,19.08790546949151,0.5202455941076695,0.7217833117216977
7,lesion_plus_hodge,210,16.493371980467973,20.290045472647094,0.4579136627720749,0.6782135791610022
7,lesion_plus_mass_effect_plus_hodge,210,15.74478177089583,19.4034787737541,0.5042512583869153,0.7102399747932195
8,intercept_only,210,24.073650793650796,27.601619604477005,-0.003163110363269883,-0.07498871456745786
8,clinical_only,210,24.171769720657245,27.729950600852206,-0.012513010703267602,-0.09446070976873461
8,lesion_standard,210,16.1939940951439,20.174548310015965,0.4640675413214249,0.6816317636748439
8,lesion_plus_mass_effect,210,15.288129328381194,19.173214902603995,0.5159476856628733,0.7184116118252273
8,lesion_plus_uncertainty,210,15.920021901813323,20.278714273591653,0.4585189618612857,0.6785084187884182
8,lesion_uncertainty_plus_mass_effect,210,14.975091376405404,18.925140939825017,0.5283925406043131,0.7270576577341026
8,lesion_plus_hodge,210,16.39589907520742,20.27233059912467,0.4588598212038938,0.6783627672768303
8,lesion_plus_mass_effect_plus_hodge,210,15.509843428035238,19.317599722735945,0.5086298768367417,0.7134408250632669
9,intercept_only,210,24.050493197278914,27.590626244722387,-0.0023641763193194,-0.06483039505690714
9,clinical_only,210,24.229946897686844,27.862106041651906,-0.02218687987018919,-0.11243353948010944
9,lesion_standard,210,16.444314111691043,20.41418440606512,0.4512601656592945,0.6728353934134462
9,lesion_plus_mass_effect,210,15.452226183859798,19.380162046717007,0.5054420028902866,0.7110206344151598
9,lesion_plus_uncertainty,210,15.840455913868421,20.532970367241965,0.4448555766314356,0.6740887783987166
9,lesion_uncertainty_plus_mass_effect,210,15.30494107910051,19.31792735494818,0.5086132091297806,0.7137508015684164
9,lesion_plus_hodge,210,16.408888279574573,20.370565242105048,0.4536026546519929,0.6748183316851684
9,lesion_plus_mass_effect_plus_hodge,210,15.718426607163517,19.515205638109006,0.4985256955904631,0.7064028610265534
10,intercept_only,210,24.150385487528343,27.70234636224742,-0.010498168364120541,-0.13661409306913663
10,clinical_only,210,24.208434363700267,27.898924062661905,-0.02489017617079403,-0.14503288548414098
10,lesion_standard,210,16.640357319929876,20.50346125968807,0.4464500897078234,0.6705417669761962
10,lesion_plus_mass_effect,210,15.62240517748886,19.54792985969698,0.4968424834861851,0.7058496896570192
10,lesion_plus_uncertainty,210,15.864046022629806,20.025017106579174,0.4719826267643249,0.6888881495513764
10,lesion_uncertainty_plus_mass_effect,210,15.545264320369188,19.473735101452085,0.500654734078561,0.7090077940709374
10,lesion_plus_hodge,210,16.99311143036138,20.994808149183044,0.41960155319996995,0.656267307509309
10,lesion_plus_mass_effect_plus_hodge,210,15.825725978966533,19.80169259453916,0.48369414618655715,0.6965252849170223
11,intercept_only,210,24.14885260770975,27.63777995906617,-0.005793281760423152,-0.10148481449993234
11,clinical_only,210,24.324549723248865,27.83397400058967,-0.02012374179767229,-0.11302860654903935
11,lesion_standard,210,16.249722301742302,20.075890673739902,0.4692963620005146,0.6851899627542409
11,lesion_plus_mass_effect,210,15.66587593301294,19.578462164143765,0.4952694723148098,0.7038838591509838
11,lesion_plus_uncertainty,210,16.07599783345275,20.751465440725127,0.4329779293636429,0.6689026340332269
11,lesion_uncertainty_plus_mass_effect,210,15.14590475142168,19.15871127659301,0.5166797338279854,0.718808450722324
11,lesion_plus_hodge,210,16.260321891366917,20.09471026445959,0.4683009086246137,0.6847576821934275
11,lesion_plus_mass_effect_plus_hodge,210,15.859677977701189,19.69252696447564,0.48937118525069767,0.6996838592399945
12,intercept_only,210,24.199293650793653,27.69873468974167,-0.010234699667432956,-0.13488892330725846
12,clinical_only,210,24.41814008290053,27.917068321631675,-0.0262236985466191,-0.13928152365680196
12,lesion_standard,210,16.316572340250435,20.16743812706374,0.4644452356603914,0.6818296532216753
12,lesion_plus_mass_effect,210,15.466191889971773,19.306730399483,0.5091826741020722,0.713628891011455
12,lesion_plus_uncertainty,210,15.192971283049008,19.550792818505563,0.49669508938947704,0.7064278675200258
12,lesion_uncertainty_plus_mass_effect,210,14.941765303274732,18.90184710216236,0.5295527736407672,0.7277335540332571
12,lesion_plus_hodge,210,16.473418991155217,20.265536162283073,0.45922249550067984,0.6785491200863845
12,lesion_plus_mass_effect_plus_hodge,210,15.802727544403837,19.53404019772681,0.4975572604459534,0.7056019044937686
