repeat,model,n,mae,rmse,r2,pearson_r
5,intercept_only,210,24.04575396825397,27.58951390741403,-0.0022833557837786955,-0.06371262960483098
5,clinical_only,210,24.142315393139377,27.762574726928882,-0.01489684353272791,-0.07580795963655175
5,lesion_standard,210,16.366432734340652,20.343853625883433,0.45503468040243744,0.6756988617329314
5,lesion_plus_mass_effect,210,16.392018930728547,21.08301084533854,0.4147146076231075,0.6522206646417137
5,lesion_plus_mass_effect_and_registration_qc,210,16.099267105070293,20.833659658943194,0.4284772124023336,0.6595176288851838
5,lesion_plus_uncertainty,210,15.614425571956174,19.974363385318178,0.4746505113756876,0.6917093857608859
5,lesion_uncertainty_plus_mass_effect,210,15.590570788008758,20.015487282234307,0.4724850698291929,0.6886214082646837
5,lesion_plus_hodge,210,16.524692370905896,20.62781670677579,0.43971506121416737,0.6652924335314834
5,lesion_plus_mass_effect_plus_hodge,210,16.246290269560074,20.69059122933179,0.43629975681015654,0.6631960321349154
6,intercept_only,210,24.194666666666663,27.705968904795853,-0.010762464528966342,-0.1383230648652562
6,clinical_only,210,24.22603929439912,27.794492823966287,-0.017231799666196812,-0.1554897983060099
6,lesion_standard,210,16.25903003575749,20.20455860173698,0.46247192177791174,0.6806029617083302
6,lesion_plus_mass_effect,210,15.894712598690313,20.16150202328505,0.46476046070476884,0.6833116189876818
6,lesion_plus_mass_effect_and_registration_qc,210,15.716009333539994,20.145059480099874,0.4656331249101481,0.6838508881156767
6,lesion_plus_uncertainty,210,15.780900864468931,20.148980036000545,0.46542511171769996,0.6874410368443663
6,lesion_uncertainty_plus_mass_effect,210,16.203535666573057,20.531890673021035,0.44491395790370936,0.6750574191214657
6,lesion_plus_hodge,210,16.11271906044679,20.078965599415618,0.46913377900558917,0.6851477937177072
6,lesion_plus_mass_effect_plus_hodge,210,15.888255188990799,20.10173482990664,0.46792910850052016,0.685064486338243
7,intercept_only,210,24.275105442176873,27.817933687410864,-0.018948315723761988,-0.18353717503552602
7,clinical_only,210,24.332268716189787,27.929303885327233,-0.027123447540015944,-0.1537492246100741
7,lesion_standard,210,16.35138781205083,20.267879700218444,0.45909741557539285,0.6785003044637378
7,lesion_plus_mass_effect,210,15.863693566870236,19.880137959636485,0.4795953020160475,0.6933880416205026
7,lesion_plus_mass_effect_and_registration_qc,210,15.949374975045302,20.147418361479907,0.465507974436161,0.6833833533623057
7,lesion_plus_uncertainty,210,15.530040775849976,19.85375054800762,0.48097587789563756,0.6982596926658468
7,lesion_uncertainty_plus_mass_effect,210,15.399749140586664,19.407918158833258,0.5040243844991419,0.7100890630432207
7,lesion_plus_hodge,210,16.584616885437352,20.527763613737456,0.4451370881354677,0.6692545367507577
7,lesion_plus_mass_effect_plus_hodge,210,15.91697137877818,19.989941716362612,0.47383073459142877,0.6885309633492445
8,intercept_only,210,24.073650793650796,27.601619604477005,-0.003163110363269883,-0.07498871456745786
8,clinical_only,210,24.171769720657245,27.729950600852206,-0.012513010703267602,-0.09446070976873461
8,lesion_standard,210,16.1939940951439,20.174548310015965,0.4640675413214249,0.6816317636748439
8,lesion_plus_mass_effect,210,15.659968263577978,19.86929791276469,0.4801626696407264,0.6935346394359835
8,lesion_plus_mass_effect_and_registration_qc,210,15.618773660102987,19.984056986293734,0.47414048120105046,0.6890634608844562
8,lesion_plus_uncertainty,210,15.920021901813323,20.278714273591653,0.4585189618612857,0.6785084187884182
8,lesion_uncertainty_plus_mass_effect,210,16.079275499441792,20.683205199817596,0.4367021390768355,0.6629803726967948
8,lesion_plus_hodge,210,16.35647978398776,20.436080390885788,0.450082392154746,0.6720564178345052
8,lesion_plus_mass_effect_plus_hodge,210,15.845059592445116,19.919789862863194,0.47751728670670623,0.6910490350498072
9,intercept_only,210,24.050493197278914,27.590626244722387,-0.0023641763193194,-0.06483039505690714
9,clinical_only,210,24.229946897686844,27.862106041651906,-0.02218687987018919,-0.11243353948010944
9,lesion_standard,210,16.444314111691043,20.41418440606512,0.4512601656592945,0.6728353934134462
9,lesion_plus_mass_effect,210,16.065951582957254,20.181808678453677,0.4636817317159836,0.681233478488763
9,lesion_plus_mass_effect_and_registration_qc,210,16.07907812049111,20.257006326151902,0.4596776300404042,0.6784262389235308
9,lesion_plus_uncertainty,210,15.840455913868421,20.532970367241965,0.4448555766314356,0.6740887783987166
9,lesion_uncertainty_plus_mass_effect,210,15.946881627708972,20.14335023857632,0.4657237995795126,0.6829086822871069
9,lesion_plus_hodge,210,16.752925915343187,20.77862941281382,0.43149247737564733,0.6592711524792347
9,lesion_plus_mass_effect_plus_hodge,210,16.266985042120464,20.460399717094226,0.44877278846636004,0.6705786863191769
10,intercept_only,210,24.150385487528343,27.70234636224742,-0.010498168364120541,-0.13661409306913663
10,clinical_only,210,24.208434363700267,27.898924062661905,-0.02489017617079403,-0.14503288548414098
10,lesion_standard,210,16.640357319929876,20.50346125968807,0.4464500897078234,0.6705417669761962
10,lesion_plus_mass_effect,210,15.947182881535335,20.3424480967038,0.45510997962675737,0.6775380147039727
10,lesion_plus_mass_effect_and_registration_qc,210,15.853057484326053,20.460349405616512,0.448775499363689,0.6730698052377304
10,lesion_plus_uncertainty,210,15.864046022629806,20.025017106579174,0.4719826267643249,0.6888881495513764
10,lesion_uncertainty_plus_mass_effect,210,15.979634487400201,20.255419164626833,0.4597622965766873,0.6799523644237416
10,lesion_plus_hodge,210,16.822979395560314,20.74363902076745,0.4334055537174981,0.6621634117075387
10,lesion_plus_mass_effect_plus_hodge,210,16.1587906370134,20.447245085511074,0.4494813630766059,0.6724180087585784
11,intercept_only,210,24.14885260770975,27.63777995906617,-0.005793281760423152,-0.10148481449993234
11,clinical_only,210,24.324549723248865,27.83397400058967,-0.02012374179767229,-0.11302860654903935
11,lesion_standard,210,16.249722301742302,20.075890673739902,0.4692963620005146,0.6851899627542409
11,lesion_plus_mass_effect,210,15.91948171632598,19.97695003257857,0.4745144387733682,0.6895357857362494
